date,region,product,revenue,expenses,profit_margin,department
2024-01-05,North,Widget A,12000,4000,0.67,Marketing
2024-01-12,South,Widget B,8500,3200,0.62,Sales
2024-01-20,East,Widget C,9100,3800,0.58,Engineering
2024-01-28,West,Widget A,10500,3600,0.66,Marketing
2024-02-04,North,Widget B,13400,4200,0.69,Sales
2024-02-11,South,Widget C,7800,3100,0.60,Engineering
2024-02-18,East,Widget A,11200,3900,0.65,Marketing
2024-02-25,West,Widget B,9600,3400,0.65,Sales
2024-03-03,North,Widget C,14100,4600,0.67,Engineering
2024-03-10,South,Widget A,8900,3300,0.63,Marketing
2024-03-17,East,Widget B,10300,3700,0.64,Sales
2024-03-24,West,Widget C,12700,4400,0.65,Engineering
2024-04-01,North,Widget A,15200,5000,0.67,Marketing
2024-04-08,South,Widget B,9100,3500,0.62,Sales
2024-04-15,East,Widget C,11800,4100,0.65,Engineering
2024-04-22,West,Widget A,13300,4300,0.68,Marketing
2024-05-06,North,Widget B,16000,5200,0.68,Sales
2024-05-13,South,Widget C,10200,3900,0.62,Engineering
2024-05-20,East,Widget A,12500,4200,0.66,Marketing
2024-05-27,West,Widget B,11100,4000,0.64,Sales
